ID,Description,GeneRatio,BgRatio,pvalue,padj,qvalue,geneID,Count
GO:0050863,regulation of T cell activation,25/60,376/18903,3.63E-27,4.25E-24,2.61E-24,IL4R/PRKCQ/JAK3/SASH3/CD274/CD28/CD5/IL12RB1/IL2RA/CTLA4/THY1/IL7R/IL4I1/ICOS/SLAMF1/TIGIT/LGALS9C/PTPRC/CARD11/CD27/CD6/CD2/CR1/IDO1/TNFRSF9,25
GO:0007159,leukocyte cell-cell adhesion,25/60,414/18903,4.06E-26,2.38E-23,1.46E-23,SELL/IL4R/PRKCQ/JAK3/SASH3/CD274/CD28/CD5/IL12RB1/IL2RA/CTLA4/THY1/IL7R/ITGAL/IL4I1/ICOS/SLAMF1/TIGIT/LGALS9C/PTPRC/CARD11/CD27/CD6/CR1/IDO1,25
GO:0070661,leukocyte proliferation,23/60,348/18903,7.60E-25,2.39E-22,1.46E-22,SH2D2A/PRKCQ/JAK3/GPR183/FCGR3A/SASH3/CD274/CD28/CSF2RB/IL12RB1/IL2RA/CTLA4/IL7R/IL4I1/TNFRSF4/SLAMF1/LGALS9C/PTPRC/CARD11/CD6/CR1/IDO1/TNFRSF9,23
GO:0050867,positive regulation of cell activation,25/60,467/18903,8.16E-25,2.39E-22,1.46E-22,IL4R/PRKCQ/JAK3/GPR183/FCGR3A/SASH3/CD274/PLEK/CD28/CD5/IL12RB1/IL2RA/THY1/IL7R/IL4I1/TNFRSF4/ICOS/SLAMF1/PTPRC/CARD11/CD27/CD6/CD2/CR1/CD226,25
GO:0046651,lymphocyte proliferation,22/60,305/18903,1.42E-24,3.32E-22,2.04E-22,SH2D2A/PRKCQ/JAK3/GPR183/FCGR3A/SASH3/CD274/CD28/IL12RB1/IL2RA/CTLA4/IL7R/IL4I1/TNFRSF4/SLAMF1/LGALS9C/PTPRC/CARD11/CD6/CR1/IDO1/TNFRSF9,22
GO:0032943,mononuclear cell proliferation,22/60,312/18903,2.35E-24,4.58E-22,2.81E-22,SH2D2A/PRKCQ/JAK3/GPR183/FCGR3A/SASH3/CD274/CD28/IL12RB1/IL2RA/CTLA4/IL7R/IL4I1/TNFRSF4/SLAMF1/LGALS9C/PTPRC/CARD11/CD6/CR1/IDO1/TNFRSF9,22
GO:0070663,regulation of leukocyte proliferation,21/60,269/18903,3.66E-24,6.11E-22,3.75E-22,PRKCQ/JAK3/GPR183/FCGR3A/SASH3/CD274/CD28/CSF2RB/IL12RB1/IL2RA/CTLA4/IL4I1/TNFRSF4/SLAMF1/LGALS9C/PTPRC/CARD11/CD6/CR1/IDO1/TNFRSF9,21
GO:1903037,regulation of leukocyte cell-cell adhesion,23/60,377/18903,4.80E-24,7.02E-22,4.31E-22,IL4R/PRKCQ/JAK3/SASH3/CD274/CD28/CD5/IL12RB1/IL2RA/CTLA4/THY1/IL7R/IL4I1/ICOS/SLAMF1/TIGIT/LGALS9C/PTPRC/CARD11/CD27/CD6/CR1/IDO1,23
GO:0002696,positive regulation of leukocyte activation,24/60,450/18903,9.77E-24,1.27E-21,7.80E-22,IL4R/PRKCQ/JAK3/GPR183/FCGR3A/SASH3/CD274/CD28/CD5/IL12RB1/IL2RA/THY1/IL7R/IL4I1/TNFRSF4/ICOS/SLAMF1/PTPRC/CARD11/CD27/CD6/CD2/CR1/CD226,24
GO:0050670,regulation of lymphocyte proliferation,20/60,239/18903,1.31E-23,1.53E-21,9.38E-22,PRKCQ/JAK3/GPR183/FCGR3A/SASH3/CD274/CD28/IL12RB1/IL2RA/CTLA4/IL4I1/TNFRSF4/SLAMF1/LGALS9C/PTPRC/CARD11/CD6/CR1/IDO1/TNFRSF9,20
