ID,Description,GeneRatio,BgRatio,pvalue,padj,qvalue,geneID,Count
GO:0031424,keratinization,16/21,84/18903,1.01E-34,1.35E-32,9.38E-33,KRT6C/KRT16/KRT6A/SPRR1B/KRT6B/IVL/LCE3E/SPRR1A/CNFN/LCE5A/SPRR2F/LCE3D/LCE3A/SPRR2D/KRT17/SPRR2B,16
GO:0030216,keratinocyte differentiation,16/21,170/18903,1.74E-29,1.16E-27,8.07E-28,KRT6C/KRT16/KRT6A/SPRR1B/KRT6B/IVL/LCE3E/SPRR1A/CNFN/LCE5A/SPRR2F/LCE3D/LCE3A/SPRR2D/KRT17/SPRR2B,16
GO:0009913,epidermal cell differentiation,16/21,235/18903,3.74E-27,1.66E-25,1.16E-25,KRT6C/KRT16/KRT6A/SPRR1B/KRT6B/IVL/LCE3E/SPRR1A/CNFN/LCE5A/SPRR2F/LCE3D/LCE3A/SPRR2D/KRT17/SPRR2B,16
GO:0043588,skin development,16/21,302/18903,2.29E-25,7.62E-24,5.31E-24,KRT6C/KRT16/KRT6A/SPRR1B/KRT6B/IVL/LCE3E/SPRR1A/CNFN/LCE5A/SPRR2F/LCE3D/LCE3A/SPRR2D/KRT17/SPRR2B,16
GO:0008544,epidermis development,16/21,362/18903,4.39E-24,1.17E-22,8.13E-23,KRT6C/KRT16/KRT6A/SPRR1B/KRT6B/IVL/LCE3E/SPRR1A/CNFN/LCE5A/SPRR2F/LCE3D/LCE3A/SPRR2D/KRT17/SPRR2B,16
GO:0045109,intermediate filament organization,May-21,69/18903,1.09E-08,2.41E-07,1.68E-07,KRT6C/KRT16/KRT6A/KRT6B/KRT17,5
GO:0045104,intermediate filament cytoskeleton organization,May-21,89/18903,3.96E-08,6.97E-07,4.85E-07,KRT6C/KRT16/KRT6A/KRT6B/KRT17,5
GO:0045103,intermediate filament-based process,May-21,90/18903,4.19E-08,6.97E-07,4.85E-07,KRT6C/KRT16/KRT6A/KRT6B/KRT17,5
GO:0018149,peptide cross-linking,Apr-21,36/18903,6.48E-08,9.57E-07,6.67E-07,PI3/SPRR1B/IVL/SPRR1A,4
GO:0050830,defense response to Gram-positive bacterium,Mar-21,118/18903,0.000290522,0.003863944,0.002691152,KRT6A/SPRR2A/LCE3A,3
GO:0019730,antimicrobial humoral response,Mar-21,125/18903,0.000344128,0.004160815,0.002897917,PI3/KRT6A/SPRR2A,3
GO:0042742,defense response to bacterium,Apr-21,382/18903,0.000748206,0.008292616,0.005775625,PI3/KRT6A/SPRR2A/LCE3A,4
GO:0019731,antibacterial humoral response,Feb-21,63/18903,0.002203825,0.022546823,0.015703367,PI3/SPRR2A,2
GO:0006959,humoral immune response,Mar-21,320/18903,0.005098361,0.048434425,0.033733513,PI3/KRT6A/SPRR2A,3
